,Date,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,Location_Level,New_Cases_per_Million,Total_Cases_per_Million,New_Death_per_Million,Total_Deaths_per_Million,Total_Deaths_per_100rb,Case_Fatality_Rate,Case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths
4,7/6/2021,9439,137,6100,3202,600929,8854,497408,94667,0,870.26,55404.85,12.63,816.33,81.63,1.47%,82.77%,0.87,1.14
39,7/7/2021,9365,142,3655,5568,610294,8996,501063,100235,0,863.44,56268.29,13.09,829.42,82.94,1.47%,82.10%,0.99,1.04
74,7/8/2021,12974,136,10854,1984,623268,9132,511917,102219,0,1196.19,57464.47,12.54,841.96,84.2,1.47%,82.13%,1.39,0.96
109,7/9/2021,13111,138,15029,-2056,636379,9270,526946,100163,0,1208.82,58673.29,12.72,854.68,85.47,1.46%,82.80%,1.01,1.01
144,7/10/2021,12920,87,16839,-4006,649299,9357,543785,96157,0,1191.21,59864.5,8.02,862.7,86.27,1.44%,83.75%,0.99,0.63
179,7/11/2021,13133,46,20602,-7515,662432,9403,564387,88642,0,1210.84,61075.34,4.24,866.94,86.69,1.42%,85.20%,1.02,0.53
214,7/12/2021,14622,134,20477,-5989,677054,9537,584864,82653,0,1348.13,62423.47,12.35,879.3,87.93,1.41%,86.38%,1.11,2.91
249,7/13/2021,12183,68,4571,7544,689237,9605,589435,90197,0,1123.26,63546.73,6.27,885.57,88.56,1.39%,85.52%,0.83,0.51
284,7/14/2021,12669,63,3069,9537,701906,9668,592504,99734,0,1168.06,64714.79,5.81,891.38,89.14,1.38%,84.41%,1.04,0.93
319,7/15/2021,12691,141,3034,9516,714597,9809,595538,109250,0,1170.09,65884.88,13.0,904.38,90.44,1.37%,83.34%,1.0,2.24
354,7/16/2021,12416,132,8448,3836,727013,9941,603986,113086,0,1144.74,67029.62,12.17,916.55,91.65,1.37%,83.08%,0.98,0.94
389,7/17/2021,10168,67,11610,-1509,737181,10008,615596,111577,0,937.48,67967.1,6.18,922.72,92.27,1.36%,83.51%,0.82,0.51
424,7/18/2021,9129,158,11852,-2881,746310,10166,627448,108696,0,841.68,68808.78,14.57,937.29,93.73,1.36%,84.07%,0.9,2.36
459,7/19/2021,5000,250,12659,-7909,751310,10416,640107,100787,0,460.99,69269.77,23.05,960.34,96.03,1.39%,85.20%,0.55,1.58
494,7/20/2021,6213,268,12066,-6121,757523,10684,652173,94666,0,572.83,69842.6,24.71,985.05,98.51,1.41%,86.09%,1.24,1.07
529,7/21/2021,5904,95,10545,-4736,763427,10779,662718,89930,0,544.34,70386.94,8.76,993.81,99.38,1.41%,86.81%,0.95,0.35
564,7/22/2021,7060,195,10631,-3766,770487,10974,673349,86164,0,650.92,71037.87,17.98,1011.79,101.18,1.42%,87.39%,1.2,2.05
599,7/23/2021,8033,157,14510,-6634,778520,11131,687859,79530,0,740.63,71778.5,14.48,1026.26,102.63,1.43%,88.35%,1.14,0.81
634,7/24/2021,8359,151,14528,-6320,786879,11282,702387,73210,0,770.69,72549.19,13.92,1040.19,104.02,1.43%,89.26%,1.04,0.96
669,7/25/2021,5394,157,14225,-8988,792273,11439,716612,64222,0,497.32,73046.51,14.48,1054.66,105.47,1.44%,90.45%,0.65,1.04
