country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/1/2021,-46,-27,-51,-61,-73,22
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/2/2021,-39,-15,-50,-41,-33,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/3/2021,-40,-19,-58,-34,-15,9
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/4/2021,-29,-5,-50,-39,-32,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/5/2021,-32,-9,-53,-39,-33,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/6/2021,-30,-11,-52,-40,-32,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/7/2021,-31,-10,-51,-41,-33,15
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/8/2021,-28,-9,-44,-41,-31,15
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/9/2021,-38,-18,-58,-39,-20,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/10/2021,-32,-9,-55,-34,-12,9
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/11/2021,-32,-12,-50,-43,-34,15
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/12/2021,-36,-17,-54,-44,-36,15
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/13/2021,-36,-18,-53,-45,-36,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/14/2021,-38,-23,-53,-48,-40,12
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/15/2021,-36,-22,-48,-49,-40,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/16/2021,-39,-21,-53,-44,-28,8
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/17/2021,-41,-24,-57,-43,-23,8
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/18/2021,-39,-24,-55,-48,-41,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/19/2021,-39,-23,-56,-49,-41,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/20/2021,-38,-23,-55,-49,-40,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/21/2021,-39,-24,-54,-49,-40,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/22/2021,-35,-20,-47,-48,-37,15
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/23/2021,-37,-17,-52,-41,-23,9
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/24/2021,-48,-33,-71,-50,-26,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/25/2021,-34,-16,-52,-45,-37,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/26/2021,-36,-18,-55,-45,-38,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/27/2021,-35,-18,-54,-46,-37,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/28/2021,-34,-15,-50,-45,-37,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/29/2021,-33,-14,-46,-45,-36,14
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/30/2021,-36,-12,-56,-39,-23,8
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,1/31/2021,-33,-8,-60,-35,-16,7
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/1/2021,-33,-12,-54,-43,-36,12
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/2/2021,-32,-7,-52,-42,-37,12
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/3/2021,-34,-15,-57,-45,-37,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/4/2021,-35,-17,-55,-45,-37,12
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/5/2021,-28,-6,-46,-42,-35,12
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/6/2021,-31,-6,-52,-35,-23,7
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/7/2021,-39,-20,-66,-41,-21,8
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/8/2021,-33,-14,-55,-43,-37,12
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/9/2021,-31,-9,-55,-42,-37,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/10/2021,-29,-8,-52,-41,-36,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/11/2021,-27,-6,-47,-37,-37,9
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/12/2021,-34,-17,-41,-55,-67,20
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/13/2021,-35,-15,-48,-41,-30,8
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/14/2021,-37,-18,-57,-38,-19,7
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/15/2021,-32,-12,-51,-41,-35,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/16/2021,-39,-21,-58,-44,-39,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/17/2021,-32,-12,-51,-42,-34,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/18/2021,-39,-23,-57,-45,-36,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/19/2021,-30,-10,-46,-43,-34,13
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/20/2021,-38,-14,-55,-40,-25,9
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/21/2021,-35,-12,-57,-38,-17,7
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/22/2021,-31,-12,-50,-43,-34,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/23/2021,-34,-15,-54,-43,-35,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/24/2021,-34,-18,-53,-44,-34,12
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/25/2021,-29,-7,-49,-41,-33,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/26/2021,-24,-2,-41,-39,-32,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/27/2021,-24,4,-42,-30,-19,5
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/28/2021,-28,-3,-49,-31,-13,5
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/1/2021,-29,-5,-51,-40,-33,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/2/2021,-29,-5,-52,-40,-34,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/3/2021,-27,-5,-49,-39,-33,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/4/2021,-29,-10,-50,-40,-33,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/5/2021,-26,-6,-45,-39,-32,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/6/2021,-26,-2,-45,-29,-20,5
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/7/2021,-31,-9,-52,-31,-16,6
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/8/2021,-28,-7,-48,-39,-33,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/9/2021,-29,-9,-49,-38,-34,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/10/2021,-25,-5,-46,-34,-32,9
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/11/2021,-28,-11,-41,-51,-66,18
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/12/2021,-26,-6,-39,-40,-34,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/13/2021,-28,-4,-40,-32,-20,6
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/14/2021,-31,-9,-44,-30,-16,5
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/15/2021,-27,-6,-43,-37,-32,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/16/2021,-29,-9,-47,-38,-33,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/17/2021,-28,-8,-43,-38,-31,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/18/2021,-27,-8,-42,-38,-31,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/19/2021,-24,-5,-37,-36,-30,11
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/20/2021,-27,-4,-42,-30,-17,6
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/21/2021,-29,-7,-46,-31,-13,5
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/22/2021,-28,-7,-45,-38,-31,10
