Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,14047.299805,14047.299805,13965.400391,13990.459961,13990.459961,0
2021-02-10,14029.200195,14029.200195,13957.900391,13989.188477,13989.188477,0
2021-02-11,14027.000000,14027.000000,13949.500000,14027.000000,14027.000000,0
2021-02-12,14009.799805,14009.799805,13952.200195,13976.240234,13976.240234,0
2021-02-15,13968.453125,13974.599609,13858.299805,13966.000000,13966.000000,0
2021-02-16,13940.599609,14022.299805,13724.613281,13907.000000,13907.000000,0
2021-02-17,14039.200195,14151.500000,13918.000000,14039.200195,14039.200195,0
2021-02-18,14102.500000,14110.000000,13997.651367,14007.474609,14007.474609,0
2021-02-19,14118.000000,14118.000000,13991.900391,13998.198242,13998.198242,0
2021-02-22,13889.534180,14237.200195,13886.353516,13898.416992,13898.416992,0
2021-02-23,14165.000000,14165.000000,14067.799805,14107.696289,14107.696289,0
2021-02-24,14126.200195,14126.200195,14020.299805,14081.617188,14081.617188,0
2021-02-25,14096.799805,14256.500000,14042.799805,14097.799805,14097.799805,0
2021-02-26,14410.000000,14410.000000,13967.285156,13968.185547,13968.185547,0
2021-03-01,14092.257813,14347.500000,14079.678711,14110.584961,14110.584961,0
2021-03-02,14336.200195,14372.000000,14245.419922,14245.620117,14245.620117,0
2021-03-03,14345.000000,14345.000000,14234.766602,14239.181641,14239.181641,0
2021-03-04,14349.000000,14351.500000,14227.799805,14349.000000,14349.000000,0
2021-03-05,14410.000000,14441.000000,14243.856445,14268.879883,14268.879883,0
2021-03-08,14275.891602,14364.000000,14113.595703,14287.392578,14287.392578,0
2021-03-09,14343.933594,14466.000000,14110.560547,14344.475586,14344.475586,0
2021-03-10,14396.559570,14444.200195,14176.063477,14393.000000,14393.000000,0
2021-03-11,14462.599609,14462.599609,14280.900391,14398.000000,14398.000000,0
2021-03-12,14345.000000,14446.500000,14284.900391,14283.900391,14283.900391,0
2021-03-15,14409.400391,14417.299805,14407.400391,14385.208984,14385.208984,0
2021-03-16,14464.000000,14506.799805,14378.400391,14464.000000,14464.000000,0
2021-03-17,14495.000000,14495.200195,14394.700195,14427.500000,14427.500000,0
2021-03-18,14402.000000,14529.799805,14338.000000,14403.000000,14403.000000,0
2021-03-19,14494.799805,14494.799805,14373.500000,14431.000000,14431.000000,0
2021-03-22,14398.000000,14442.400391,14373.099609,14372.200195,14372.200195,0
2021-03-23,14432.700195,14499.000000,14252.500000,14375.799805,14375.799805,0
2021-03-24,14505.500000,14505.500000,14388.000000,14505.500000,14505.500000,0
2021-03-25,14508.700195,14508.700195,14401.500000,14460.000000,14460.000000,0
2021-03-26,14502.099609,14502.099609,14399.900391,14456.400391,14456.400391,0
2021-03-29,14411.000000,14501.000000,14411.000000,14411.000000,14411.000000,0
2021-03-30,14511.700195,14569.599609,14438.000000,14511.700195,14511.700195,0
2021-03-31,14605.000000,14605.000000,14517.099609,14605.000000,14605.000000,0
2021-04-01,14605.000000,14605.000000,14495.299805,14606.000000,14606.000000,0
2021-04-02,14553.000000,14553.000000,14486.000000,14553.000000,14553.000000,0
2021-04-05,14518.000000,14536.000000,14446.500000,14518.000000,14518.000000,0
2021-04-06,14529.200195,14529.200195,14456.299805,14529.200195,14529.200195,0
2021-04-07,14510.000000,14577.599609,14456.200195,14460.299805,14460.299805,0
2021-04-08,14641.000000,14641.000000,14488.000000,14641.000000,14641.000000,0
2021-04-09,14660.700195,14660.700195,14528.000000,14660.700195,14660.700195,0
2021-04-12,14558.000000,14644.000000,14558.000000,14558.000000,14558.000000,0
2021-04-13,14611.900391,14674.000000,14588.000000,14611.900391,14611.900391,0
2021-04-14,14688.000000,14688.000000,14597.200195,14621.099609,14621.099609,0
2021-04-15,14673.799805,14673.799805,14562.599609,14673.799805,14673.799805,0
2021-04-16,14603.000000,14617.000000,14512.299805,14616.000000,14616.000000,0
2021-04-19,14558.000000,14575.599609,14509.099609,14558.000000,14558.000000,0
2021-04-20,14569.299805,14576.099609,14471.500000,14570.000000,14570.000000,0
2021-04-21,14587.299805,14587.299805,14495.000000,14543.200195,14543.200195,0
2021-04-22,14564.200195,14564.200195,14507.000000,14564.200195,14564.200195,0
2021-04-23,14605.900391,14605.900391,14504.400391,14606.599609,14606.599609,0
2021-04-26,14518.000000,14518.000000,14416.500000,14518.000000,14518.000000,0
2021-04-27,14505.099609,14517.000000,14460.700195,14459.599609,14459.599609,0
2021-04-28,14566.000000,14568.500000,14478.000000,14516.400391,14516.400391,0
2021-04-29,14519.000000,14519.000000,14384.900391,14519.000000,14519.000000,0
2021-04-30,14439.700195,14494.700195,14395.599609,14439.700195,14439.700195,0
2021-05-03,14438.000000,14519.799805,14394.799805,14438.000000,14438.000000,0
2021-05-04,14448.500000,14480.200195,14390.500000,14399.099609,14399.099609,0
2021-05-05,14529.000000,14529.000000,14411.299805,14482.500000,14482.500000,0
2021-05-06,14450.000000,14450.000000,14276.200195,14399.500000,14399.500000,0
2021-05-07,14282.799805,14312.000000,14055.900391,14283.799805,14283.799805,0
2021-05-10,14278.000000,14278.000000,14071.299805,14278.000000,14278.000000,0
2021-05-11,14220.000000,14227.299805,14160.500000,14189.599609,14189.599609,0
2021-05-12,14220.000000,14330.799805,14182.500000,14220.000000,14220.000000,0
2021-05-13,14347.000000,14359.200195,14270.799805,14347.000000,14347.000000,0
2021-05-14,14341.000000,14341.000000,14262.900391,14300.299805,14300.299805,0
2021-05-17,14191.000000,14388.099609,14191.000000,14191.000000,14191.000000,0
2021-05-18,14389.299805,14389.299805,14250.599609,14344.500000,14344.500000,0
2021-05-19,14361.299805,14416.200195,14266.000000,14362.299805,14362.299805,0
2021-05-20,14444.700195,14444.700195,14338.000000,14389.700195,14389.700195,0
2021-05-21,14396.299805,14396.299805,14311.200195,14397.299805,14397.299805,0
2021-05-24,14348.000000,14370.400391,14311.500000,14348.000000,14348.000000,0
2021-05-25,14364.000000,14364.000000,14296.500000,14365.000000,14365.000000,0
2021-05-26,14371.400391,14371.400391,14217.099609,14371.400391,14371.400391,0
2021-05-27,14309.000000,14335.099609,14263.799805,14310.000000,14310.000000,0
2021-05-28,14330.000000,14345.099609,14256.500000,14318.000000,14318.000000,0
2021-05-31,14278.000000,14306.799805,14206.500000,14278.000000,14278.000000,0
2021-06-01,14274.200195,14285.500000,14179.799805,14247.500000,14247.500000,0
2021-06-02,14280.000000,14327.799805,14240.000000,14251.500000,14251.500000,0
2021-06-03,14290.700195,14333.799805,14236.500000,14290.700195,14290.700195,0
2021-06-04,14360.000000,14360.000000,14249.200195,14360.000000,14360.000000,0
2021-06-07,14288.000000,14298.299805,14239.000000,14288.000000,14288.000000,0
2021-06-08,14278.299805,14287.700195,14199.650391,14246.500000,14246.500000,0
2021-06-09,14310.700195,14310.700195,14243.500000,14281.000000,14281.000000,0
2021-06-10,14300.000000,14300.000000,14223.000000,14300.000000,14300.000000,0
2021-06-11,14247.500000,14251.000000,14148.000000,14248.500000,14248.500000,0
2021-06-14,14182.000000,14276.400391,14182.000000,14182.000000,14182.000000,0
2021-06-15,14266.500000,14271.900391,14150.889648,14267.500000,14267.500000,0
2021-06-16,14279.299805,14279.299805,14218.000000,14280.299805,14280.299805,0
2021-06-17,14407.500000,14487.599609,14302.799805,14466.500000,14466.500000,0
2021-06-18,14554.700195,14554.700195,14367.099609,14554.700195,14554.700195,0
2021-06-21,14368.000000,14505.599609,14368.000000,14368.000000,14368.000000,0
2021-06-22,14454.000000,14485.299805,14368.400391,14388.799805,14388.799805,0
2021-06-23,14495.000000,14495.000000,14413.000000,14495.000000,14495.000000,0
2021-06-24,14468.000000,14491.400391,14381.730469,14413.299805,14413.299805,0
2021-06-25,14511.200195,14511.200195,14417.500000,14511.200195,14511.200195,0
2021-06-28,14418.000000,14517.400391,14417.400391,14418.000000,14418.000000,0
2021-06-29,14479.000000,14593.400391,14438.000000,14525.000000,14525.000000,0
2021-06-30,14629.099609,14629.099609,14423.519531,14629.099609,14629.099609,0
2021-07-01,14601.599609,14601.599609,14490.000000,14601.599609,14601.599609,0
2021-07-02,14635.000000,14635.000000,14485.500000,14581.400391,14581.400391,0
2021-07-05,14526.000000,14535.000000,14444.500000,14526.000000,14526.000000,0
2021-07-06,14507.000000,14530.000000,14443.500000,14495.000000,14495.000000,0
2021-07-07,14568.700195,14568.700195,14468.299805,14568.700195,14568.700195,0
2021-07-08,14569.200195,14599.700195,14506.200195,14569.200195,14569.200195,0
2021-07-09,14618.700195,14618.700195,14479.599609,14618.700195,14618.700195,0
2021-07-12,14521.000000,14525.000000,14466.099609,14521.000000,14521.000000,0
2021-07-13,14557.500000,14557.500000,14439.500000,14558.500000,14558.500000,0
